"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.61
"count",82.45
"diff_srv_rate",81.49
"is_guest_login",80.56
"dst_host_srv_rerror_rate",80.12
"dst_host_rerror_rate",79.61
"dst_host_serror_rate",79.09
"service",78.59
"srv_count",75.33
"srv_serror_rate",74.97
"dst_bytes",74.53
"dst_host_srv_count",73.06
"logged_in",5.51
"dst_host_count",5.37
"dst_host_srv_diff_host_rate",2.03
"root_shell",1.47
"dst_host_same_srv_rate",1.39
"wrong_fragment",1.06
"duration",0
"src_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"same_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"protocol_type",0
"flag",0
