"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",89.75
"is_guest_login",84.1
"same_srv_rate",82.8
"count",81.67
"rerror_rate",80.81
"dst_host_rerror_rate",80.21
"dst_host_serror_rate",79.62
"srv_count",79.27
"serror_rate",78.94
"dst_host_srv_diff_host_rate",78.61
"service",77.88
"dst_host_diff_srv_rate",76.68
"dst_host_srv_count",74.23
"duration",72.49
"dst_host_same_srv_rate",4.75
"dst_host_count",2.45
"protocol_type",1.41
"dst_host_srv_rerror_rate",1.34
"logged_in",1.03
"root_shell",0.33
"dst_host_srv_serror_rate",0.3
"dst_bytes",0.21
"wrong_fragment",0.18
"src_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"srv_serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"flag",0
