"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.58
"count",82.45
"diff_srv_rate",81.35
"dst_host_srv_rerror_rate",80.37
"is_guest_login",79.78
"dst_host_rerror_rate",79.38
"dst_host_serror_rate",79.16
"dst_host_srv_diff_host_rate",78.5
"srv_count",78.06
"srv_serror_rate",77.69
"flag",77.3
"service",77.27
"dst_host_srv_count",73.61
"dst_host_diff_srv_rate",69.69
"hot",7.14
"dst_host_same_srv_rate",6.64
"dst_host_count",3.61
"src_bytes",1.19
"protocol_type",0.18
"dst_bytes",0.1
"duration",0
"land",0
"wrong_fragment",0
"urgent",0
"num_failed_logins",0
"logged_in",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"same_srv_rate",0
"dst_host_srv_serror_rate",0
