"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.47
"count",82.2
"same_srv_rate",81.16
"is_guest_login",80.41
"rerror_rate",79.97
"dst_host_serror_rate",79.56
"dst_host_rerror_rate",79.03
"dst_host_srv_diff_host_rate",78.35
"srv_count",77.59
"srv_serror_rate",77.21
"service",76.84
"dst_host_srv_count",74.49
"hot",65.63
"dst_host_same_srv_rate",4.68
"dst_host_count",3.72
"logged_in",1.23
"wrong_fragment",0.37
"dst_host_diff_srv_rate",0.34
"dst_bytes",0.31
"duration",0
"src_bytes",0
"land",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
