"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.6
"count",82.47
"same_srv_rate",81.44
"rerror_rate",80.63
"dst_host_rerror_rate",80.13
"is_guest_login",79.48
"dst_host_serror_rate",79.34
"dst_host_srv_diff_host_rate",78.64
"srv_count",77.88
"dst_host_count",77.85
"srv_serror_rate",77.51
"service",77.14
"dst_host_srv_count",74.33
"dst_host_same_srv_rate",1.54
"logged_in",1.15
"dst_host_diff_srv_rate",0.56
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
