"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.19
"same_srv_rate",81.8
"count",80.88
"dst_host_rerror_rate",79.92
"is_guest_login",78.71
"dst_host_serror_rate",78.32
"flag",77.95
"srv_count",77.75
"dst_host_srv_diff_host_rate",77.38
"service",76.46
"dst_host_srv_count",74.3
"srv_serror_rate",74.26
"dst_host_diff_srv_rate",7.9
"protocol_type",4.73
"dst_host_count",2.96
"dst_host_same_srv_rate",1.86
"logged_in",1.44
"wrong_fragment",0.98
"dst_host_srv_rerror_rate",0.16
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
