"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.59
"count",82.39
"diff_srv_rate",81.36
"is_guest_login",80.38
"rerror_rate",79.94
"dst_host_rerror_rate",79.55
"dst_host_serror_rate",79.26
"dst_host_srv_diff_host_rate",78.61
"dst_host_count",78.08
"srv_count",77.76
"service",77.38
"srv_serror_rate",74.79
"dst_host_srv_count",74.02
"dst_host_diff_srv_rate",4.36
"num_root",1.2
"logged_in",1.16
"same_srv_rate",0.98
"dst_host_same_srv_rate",0.43
"dst_bytes",0.22
"src_bytes",0.07
"duration",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"srv_rerror_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
