"feature","usage"
"dst_host_same_src_port_rate",100
"same_srv_rate",87.02
"srv_diff_host_rate",81.63
"count",75.94
"is_guest_login",75.05
"dst_host_rerror_rate",74.63
"dst_host_serror_rate",73.76
"srv_count",73.37
"dst_host_srv_diff_host_rate",73.03
"flag",72.14
"service",71.9
"srv_serror_rate",69.69
"dst_host_srv_count",68.54
"dst_host_same_srv_rate",4.87
"dst_host_diff_srv_rate",4.64
"dst_host_count",2.86
"logged_in",1.07
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
