"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",83.34
"count",77.49
"same_srv_rate",76.29
"is_guest_login",75.44
"rerror_rate",75.02
"dst_host_rerror_rate",74.62
"dst_host_serror_rate",73.9
"dst_host_srv_diff_host_rate",73.52
"srv_count",72.88
"srv_serror_rate",72.53
"service",72.13
"dst_host_srv_count",69.24
"dst_host_same_srv_rate",5.15
"dst_host_diff_srv_rate",5
"protocol_type",3.95
"dst_host_count",3.66
"logged_in",0.95
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"flag",0
