"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.95
"same_srv_rate",82.75
"count",81.59
"is_guest_login",80.63
"dst_host_srv_rerror_rate",80.22
"dst_host_rerror_rate",79.85
"dst_host_serror_rate",79.64
"srv_count",78.98
"dst_host_srv_diff_host_rate",78.6
"dst_host_srv_count",77.62
"srv_serror_rate",72.03
"hot",65.99
"service",8.39
"dst_host_count",4.51
"dst_host_diff_srv_rate",2.35
"wrong_fragment",1.98
"dst_host_same_srv_rate",1.66
"logged_in",0.65
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"protocol_type",0
"flag",0
