"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.82
"count",83.01
"dst_host_rerror_rate",81.93
"diff_srv_rate",80.79
"is_guest_login",80.04
"dst_host_serror_rate",79.61
"srv_count",79.23
"service",78.84
"flag",77.22
"dst_host_same_srv_rate",76.64
"srv_serror_rate",75.76
"dst_host_srv_count",74.33
"dst_host_count",4.5
"logged_in",2.59
"dst_host_srv_diff_host_rate",1.93
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"same_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
