"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.19
"count",82.18
"same_srv_rate",81.22
"rerror_rate",80.41
"dst_host_rerror_rate",79.94
"is_guest_login",79.3
"dst_host_serror_rate",78.92
"srv_count",78.53
"dst_host_srv_diff_host_rate",78.15
"srv_serror_rate",77.2
"service",76.71
"dst_bytes",74.24
"dst_host_srv_count",70.7
"logged_in",5.72
"dst_host_count",5.13
"dst_host_same_srv_rate",2.76
"wrong_fragment",0.98
"duration",0.09
"src_bytes",0
"land",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
