"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.26
"count",82.44
"same_srv_rate",81.42
"rerror_rate",80.54
"dst_host_rerror_rate",80.1
"is_guest_login",79.44
"dst_host_serror_rate",79.29
"dst_host_srv_diff_host_rate",78.61
"srv_count",77.86
"dst_host_count",77.79
"srv_serror_rate",77.48
"service",77.08
"dst_host_srv_count",74.31
"dst_host_same_srv_rate",1.5
"logged_in",1.15
"dst_host_diff_srv_rate",0.28
"src_bytes",0.12
"duration",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
