"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.6
"count",82.6
"diff_srv_rate",81.53
"dst_host_srv_rerror_rate",80.57
"is_guest_login",79.98
"dst_host_rerror_rate",79.59
"dst_host_serror_rate",79.14
"srv_count",78.63
"dst_host_count",78.48
"service",78.26
"flag",76.35
"srv_serror_rate",74.97
"dst_host_srv_count",74.2
"hot",65.98
"dst_host_diff_srv_rate",4.37
"dst_host_same_srv_rate",2.79
"dst_host_srv_diff_host_rate",2.49
"logged_in",1.13
"same_srv_rate",0.96
"src_bytes",0.25
"dst_bytes",0.12
"duration",0
"land",0
"wrong_fragment",0
"urgent",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"dst_host_srv_serror_rate",0
"protocol_type",0
