"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.43
"count",82.39
"same_srv_rate",81.41
"dst_host_srv_rerror_rate",80.57
"dst_host_rerror_rate",80.01
"dst_host_serror_rate",79.75
"dst_host_srv_diff_host_rate",79.04
"srv_count",78.59
"srv_serror_rate",78.22
"flag",77.84
"service",77.79
"dst_host_srv_count",71.05
"dst_host_same_srv_rate",5.09
"dst_host_count",3.78
"logged_in",1.19
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"is_guest_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_diff_srv_rate",0
"dst_host_srv_serror_rate",0
"protocol_type",0
