"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.29
"count",82.4
"same_srv_rate",81.43
"is_guest_login",80.6
"dst_host_rerror_rate",80.16
"dst_host_serror_rate",79.66
"dst_host_srv_diff_host_rate",79
"flag",78.24
"srv_count",77.82
"service",77.43
"srv_serror_rate",74.96
"dst_host_srv_count",73.91
"dst_host_same_srv_rate",3.19
"dst_host_count",3.18
"root_shell",1.25
"logged_in",1.13
"dst_host_diff_srv_rate",0.76
"duration",0
"src_bytes",0
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"serror_rate",0
"rerror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
