"feature","usage"
"dst_host_same_src_port_rate",100
"srv_diff_host_rate",88.52
"count",82.4
"same_srv_rate",81.4
"rerror_rate",80.58
"is_guest_login",80.15
"dst_host_rerror_rate",79.78
"dst_host_serror_rate",79.44
"dst_host_srv_diff_host_rate",78.81
"srv_count",77.83
"serror_rate",77.46
"service",77.08
"dst_host_srv_count",73.68
"dst_host_same_srv_rate",6.3
"dst_host_diff_srv_rate",4.86
"dst_host_count",3.25
"logged_in",1.1
"src_bytes",0.35
"duration",0.09
"dst_bytes",0
"land",0
"wrong_fragment",0
"urgent",0
"hot",0
"num_failed_logins",0
"num_compromised",0
"root_shell",0
"su_attempted",0
"num_root",0
"num_file_creations",0
"num_shells",0
"num_access_files",0
"num_outbound_cmds",0
"is_host_login",0
"srv_serror_rate",0
"srv_rerror_rate",0
"diff_srv_rate",0
"dst_host_srv_serror_rate",0
"dst_host_srv_rerror_rate",0
"protocol_type",0
"flag",0
