attack_type,total,tp,fp,tn,fn,precision,recall,f1,detection_rate
normal,9711,0,2385,7326,0,0.0,0.0,0.0,0.0
neptune,4657,4657,0,0,0,1.0,1.0,1.0,1.0
guess_passwd,1231,196,0,0,1035,1.0,0.1592,0.2747,0.1592
mscan,996,995,0,0,1,1.0,0.999,0.9995,0.999
warezmaster,944,909,0,0,35,1.0,0.9629,0.9811,0.9629
apache2,737,735,0,0,2,1.0,0.9973,0.9986,0.9973
satan,735,735,0,0,0,1.0,1.0,1.0,1.0
processtable,685,581,0,0,104,1.0,0.8482,0.9179,0.8482
smurf,665,665,0,0,0,1.0,1.0,1.0,1.0
back,359,56,0,0,303,1.0,0.156,0.2699,0.156
snmpguess,331,11,0,0,320,1.0,0.0332,0.0643,0.0332
saint,319,316,0,0,3,1.0,0.9906,0.9953,0.9906
mailbomb,293,189,0,0,104,1.0,0.6451,0.7842,0.6451
snmpgetattack,178,50,0,0,128,1.0,0.2809,0.4386,0.2809
portsweep,157,157,0,0,0,1.0,1.0,1.0,1.0
ipsweep,141,139,0,0,2,1.0,0.9858,0.9929,0.9858
httptunnel,133,132,0,0,1,1.0,0.9925,0.9962,0.9925
nmap,73,73,0,0,0,1.0,1.0,1.0,1.0
pod,41,40,0,0,1,1.0,0.9756,0.9877,0.9756
buffer_overflow,20,18,0,0,2,1.0,0.9,0.9474,0.9
multihop,18,13,0,0,5,1.0,0.7222,0.8387,0.7222
named,17,16,0,0,1,1.0,0.9412,0.9697,0.9412
ps,15,9,0,0,6,1.0,0.6,0.75,0.6
sendmail,14,10,0,0,4,1.0,0.7143,0.8333,0.7143
xterm,13,13,0,0,0,1.0,1.0,1.0,1.0
rootkit,13,5,0,0,8,1.0,0.3846,0.5556,0.3846
teardrop,12,11,0,0,1,1.0,0.9167,0.9565,0.9167
xlock,9,2,0,0,7,1.0,0.2222,0.3636,0.2222
land,7,7,0,0,0,1.0,1.0,1.0,1.0
xsnoop,4,3,0,0,1,1.0,0.75,0.8571,0.75
ftp_write,3,2,0,0,1,1.0,0.6667,0.8,0.6667
worm,2,0,0,0,2,0.0,0.0,0.0,0.0
phf,2,2,0,0,0,1.0,1.0,1.0,1.0
udpstorm,2,2,0,0,0,1.0,1.0,1.0,1.0
sqlattack,2,2,0,0,0,1.0,1.0,1.0,1.0
perl,2,2,0,0,0,1.0,1.0,1.0,1.0
loadmodule,2,2,0,0,0,1.0,1.0,1.0,1.0
imap,1,1,0,0,0,1.0,1.0,1.0,1.0
