attack_type,common,only_lime,only_c50,overlap_n
apache2,"['same_srv_rate', 'srv_diff_host_rate']","['dst_host_srv_rerror_rate', 'is_guest_login', 'is_host_login', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'flag', 'hot', 'srv_count']",2
back,"['is_guest_login', 'same_srv_rate', 'srv_diff_host_rate', 'srv_rerror_rate']","['land', 'num_shells', 'rerror_rate', 'root_shell', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count']",4
buffer_overflow,"['is_guest_login', 'srv_diff_host_rate']","['is_host_login', 'num_shells', 'rerror_rate', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'diff_srv_rate', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_rerror_rate', 'service', 'srv_count']",2
ftp_write,"['is_guest_login', 'same_srv_rate', 'srv_diff_host_rate']","['dst_host_srv_rerror_rate', 'is_host_login', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'flag', 'srv_count']",3
guess_passwd,"['is_guest_login', 'rerror_rate', 'same_srv_rate', 'srv_diff_host_rate']","['is_host_login', 'num_shells', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'serror_rate', 'srv_count']",4
httptunnel,"['dst_host_srv_rerror_rate', 'is_guest_login', 'same_srv_rate']","['is_host_login', 'num_shells', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count', 'srv_diff_host_rate']",3
ipsweep,"['dst_host_same_src_port_rate', 'same_srv_rate', 'srv_diff_host_rate']","['is_guest_login', 'land', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'dst_host_srv_rerror_rate', 'service', 'srv_count']",3
land,"['is_guest_login', 'same_srv_rate', 'srv_diff_host_rate']","['land', 'num_shells', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'dst_host_srv_rerror_rate', 'srv_count']",3
loadmodule,"['rerror_rate', 'same_srv_rate']","['is_guest_login', 'is_host_login', 'land', 'num_shells', 'root_shell', 'srv_rerror_rate', 'urgent', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'hot', 'srv_count', 'srv_diff_host_rate']",2
mailbomb,"['is_guest_login', 'srv_diff_host_rate']","['land', 'num_shells', 'rerror_rate', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'diff_srv_rate', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'flag', 'service', 'srv_count']",2
mscan,['diff_srv_rate'],"['dst_host_srv_rerror_rate', 'is_guest_login', 'num_shells', 'rerror_rate', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'flag', 'hot', 'srv_count', 'srv_diff_host_rate']",1
multihop,"['is_guest_login', 'srv_diff_host_rate']","['land', 'num_shells', 'rerror_rate', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'diff_srv_rate', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'dst_host_srv_rerror_rate', 'srv_count']",2
named,"['dst_host_same_src_port_rate', 'is_guest_login', 'rerror_rate', 'same_srv_rate']","['is_host_login', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'urgent', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count', 'srv_diff_host_rate']",4
neptune,"['dst_host_rerror_rate', 'dst_host_srv_rerror_rate', 'is_guest_login', 'same_srv_rate']","['is_host_login', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_count', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'srv_count', 'srv_diff_host_rate']",4
nmap,"['dst_host_same_src_port_rate', 'is_guest_login', 'same_srv_rate']","['dst_host_diff_srv_rate', 'num_shells', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'flag', 'srv_count', 'srv_diff_host_rate']",3
perl,"['dst_host_srv_rerror_rate', 'is_guest_login', 'same_srv_rate']","['num_shells', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'su_attempted', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'flag', 'srv_diff_host_rate']",3
phf,"['is_guest_login', 'rerror_rate', 'same_srv_rate', 'srv_diff_host_rate']","['is_host_login', 'num_shells', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count']",4
pod,"['is_guest_login', 'same_srv_rate']","['is_host_login', 'land', 'num_shells', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'flag', 'srv_count', 'srv_diff_host_rate']",2
portsweep,"['dst_host_same_src_port_rate', 'is_guest_login', 'rerror_rate', 'same_srv_rate']","['diff_srv_rate', 'dst_host_srv_rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count', 'srv_diff_host_rate']",4
processtable,"['is_guest_login', 'srv_diff_host_rate']","['land', 'num_shells', 'rerror_rate', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'diff_srv_rate', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_serror_rate', 'flag', 'srv_count']",2
ps,"['is_guest_login', 'rerror_rate', 'srv_diff_host_rate']","['land', 'num_shells', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'diff_srv_rate', 'dst_host_count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate']",3
rootkit,['srv_diff_host_rate'],"['is_guest_login', 'is_host_login', 'num_shells', 'rerror_rate', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'diff_srv_rate', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'dst_host_srv_rerror_rate', 'hot', 'srv_count']",1
saint,"['is_guest_login', 'same_srv_rate', 'srv_rerror_rate']","['diff_srv_rate', 'dst_host_srv_rerror_rate', 'num_shells', 'rerror_rate', 'root_shell', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count', 'srv_diff_host_rate']",3
satan,"['is_guest_login', 'same_srv_rate']","['diff_srv_rate', 'dst_host_srv_rerror_rate', 'num_shells', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'flag', 'srv_count', 'srv_diff_host_rate']",2
sendmail,"['dst_host_srv_rerror_rate', 'is_guest_login', 'same_srv_rate', 'srv_diff_host_rate']","['land', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'service', 'srv_count']",4
smurf,"['dst_host_same_src_port_rate', 'is_guest_login', 'rerror_rate', 'same_srv_rate']","['is_host_login', 'num_shells', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count', 'srv_diff_host_rate']",4
snmpgetattack,"['is_guest_login', 'same_srv_rate', 'srv_diff_host_rate']","['land', 'num_shells', 'rerror_rate', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'dst_host_srv_rerror_rate', 'srv_count']",3
snmpguess,"['is_guest_login', 'srv_diff_host_rate']","['is_host_login', 'num_shells', 'rerror_rate', 'root_shell', 'same_srv_rate', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'diff_srv_rate', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'flag', 'service', 'srv_count']",2
sqlattack,"['is_guest_login', 'rerror_rate', 'same_srv_rate']","['is_host_login', 'land', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'urgent', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count', 'srv_diff_host_rate']",3
teardrop,"['dst_host_same_src_port_rate', 'is_guest_login', 'rerror_rate', 'same_srv_rate']","['land', 'num_shells', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count', 'srv_diff_host_rate']",4
udpstorm,"['is_guest_login', 'rerror_rate', 'same_srv_rate', 'srv_diff_host_rate']","['is_host_login', 'num_shells', 'root_shell', 'srv_rerror_rate', 'srv_serror_rate', 'wrong_fragment']","['count', 'dst_host_rerror_rate', 'dst_host_same_src_port_rate', 'dst_host_serror_rate', 'dst_host_srv_diff_host_rate', 'srv_count']",4
