feature,avg_abs_weight
SYN Flag Count,0.11110315428597352
URG Flag Count,0.08287767965010269
Fwd PSH Flags,0.08045876737764865
FIN Flag Count,0.05790844112246845
RST Flag Count,0.034139469081676435
PSH Flag Count,0.030931726587102252
ECE Flag Count,0.028126544581914787
ACK Flag Count,0.023121663979343246
Bwd IAT Total,0.01561004191632685
Init Bwd Win Bytes,0.014739542277458762
Flow Duration,0.009717022698857254
Bwd IAT Max,0.00877730589634874
Idle Max,0.008132963223893067
Idle Mean,0.008055250539898449
Init Fwd Win Bytes,0.006821137011345205
Idle Min,0.004986947038577775
Fwd IAT Total,0.003962015213925981
Fwd IAT Min,0.00393677907510647
Flow IAT Max,0.0036933064135403586
Bwd IAT Mean,0.003245023955414744
Fwd Packet Length Min,0.003117821108076904
Flow IAT Std,0.0027232377421143217
Fwd IAT Max,0.002639486961414514
Idle Std,0.002282621103963426
CWE Flag Count,0.0022213011236038352
Fwd Packets/s,0.0020158459738052782
Bwd IAT Min,0.0019920225654936462
Subflow Bwd Packets,0.001817991108662927
Total Backward Packets,0.0017444207173991993
Packet Length Std,0.0016722662296723698
Active Std,0.001548376420687409
Bwd IAT Std,0.0014417030500857052
Fwd Act Data Packets,0.0013976064898000003
Fwd Header Length,0.0013965285144059221
Fwd IAT Std,0.0013941487015627688
Fwd Packet Length Mean,0.001344273448326257
Subflow Fwd Packets,0.0013379216098942744
Protocol,0.0013131938584026097
Packet Length Mean,0.0013126333941349017
Fwd Packet Length Std,0.0013060890954944397
Active Min,0.0012869107739737298
Avg Fwd Segment Size,0.0012796933761280303
Active Mean,0.0012678068198347138
Total Fwd Packets,0.0012596043412870777
Active Max,0.0012554839281924321
Packet Length Max,0.001232559288026637
Avg Packet Size,0.0012316597854880353
Flow IAT Min,0.001209064703721547
Bwd Packet Length Max,0.0012075786698013064
Fwd IAT Mean,0.0011595739551771955
Subflow Fwd Bytes,0.0011460567134256943
Bwd Packet Length Mean,0.0011433570525016242
Bwd Packets Length Total,0.001132113704868417
Packet Length Min,0.0011285664947658807
Packet Length Variance,0.0011261546404460311
Flow IAT Mean,0.0011244157819386357
Subflow Bwd Bytes,0.001121965105969493
Bwd Packet Length Min,0.001121460355652882
Avg Bwd Segment Size,0.0011208844543910852
Down/Up Ratio,0.001112077697506231
Bwd Packet Length Std,0.0011036426922103996
Bwd Packets/s,0.0011007096786881819
Flow Bytes/s,0.0010974581915661919
Fwd Packets Length Total,0.0010875745727899847
Bwd Header Length,0.0010855165270022317
Flow Packets/s,0.0010843136883722203
Fwd Packet Length Max,0.0010247634805597818
Fwd Seg Size Min,0.0009910660025609186
Fwd URG Flags,0.0008040774381961435
Bwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
