feature,avg_abs_weight
SYN Flag Count,0.11020194452185987
URG Flag Count,0.08124372775843094
Fwd PSH Flags,0.07940403771608157
FIN Flag Count,0.05509507818536009
RST Flag Count,0.033839474428056175
PSH Flag Count,0.030952676729114628
ECE Flag Count,0.025904460987906698
ACK Flag Count,0.021573270828633268
Bwd IAT Total,0.01961906863867803
Flow Duration,0.014716900091645948
Packet Length Std,0.013387896875170013
Init Bwd Win Bytes,0.011017191216905616
Idle Max,0.009658499376830436
Idle Mean,0.007994595915380598
Bwd Packet Length Mean,0.007634082454216158
Bwd IAT Max,0.007092581572659316
Bwd Packet Length Std,0.007038460168619162
Fwd IAT Total,0.006789885101489826
Flow IAT Max,0.0067231702680520915
Idle Std,0.006595579814855375
Init Fwd Win Bytes,0.005979477504893145
Fwd IAT Max,0.005433212507333193
Idle Min,0.0048761120000705635
Flow IAT Std,0.0048568051772566664
Fwd IAT Min,0.004770365725734404
Avg Packet Size,0.004308529869610179
Packet Length Variance,0.00425612225993231
Packet Length Mean,0.004219833796563671
Packet Length Max,0.004047174405035015
Fwd Packet Length Min,0.002831400701336576
CWE Flag Count,0.0025429428551577956
Avg Bwd Segment Size,0.002491751061660586
Bwd IAT Mean,0.0022120494997561954
Active Std,0.0016190307999791001
Protocol,0.0015377391450505072
Down/Up Ratio,0.0015162514146068895
Fwd Act Data Packets,0.0014926079548277732
Fwd Packets/s,0.0014355745887058328
Bwd IAT Std,0.001421511069742045
Fwd Packet Length Std,0.0014112260657418686
Bwd IAT Min,0.0014085410745094714
Fwd Header Length,0.0013588706897520553
Fwd IAT Std,0.0013569843083196859
Subflow Fwd Packets,0.001348099640262571
Active Min,0.0013442683636577777
Total Fwd Packets,0.0013038537103083586
Active Mean,0.0012996050551070198
Bwd Packet Length Max,0.0012975035687983485
Active Max,0.0012881584171044588
Total Backward Packets,0.001284051279345215
Avg Fwd Segment Size,0.0012593165790978243
Fwd Packet Length Mean,0.0012589835144673843
Bwd Packets/s,0.0012363763681318078
Flow Bytes/s,0.001232356002280437
Bwd Header Length,0.0012289538115836884
Flow IAT Min,0.0012240980479388457
Subflow Fwd Bytes,0.0012142126028891855
Subflow Bwd Packets,0.0012095523151691586
Flow IAT Mean,0.0011870319522051752
Fwd IAT Mean,0.0011848212369645805
Subflow Bwd Bytes,0.0011815890181799465
Fwd Packet Length Max,0.0011694922384686457
Packet Length Min,0.0011674496102054598
Bwd Packets Length Total,0.0011258341652296462
Flow Packets/s,0.0011200345078322953
Fwd Packets Length Total,0.0011180589074285905
Fwd URG Flags,0.0010705305041880317
Fwd Seg Size Min,0.0010091276828728605
Bwd Packet Length Min,0.0009891891277785316
Bwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
