feature,avg_abs_weight
SYN Flag Count,0.11107698218495557
URG Flag Count,0.0828477533294032
Fwd PSH Flags,0.0804984387074919
FIN Flag Count,0.05718483675097873
Bwd IAT Total,0.03600640433552714
RST Flag Count,0.03417895442288594
PSH Flag Count,0.03075337332955424
Flow Duration,0.02903285621538832
Init Fwd Win Bytes,0.02764932230379875
ECE Flag Count,0.026729896665241757
ACK Flag Count,0.02300862679478795
Bwd IAT Max,0.012465445878817405
Fwd IAT Total,0.01150825448473821
Flow IAT Max,0.011268518638736189
Init Bwd Win Bytes,0.008764223475573252
Flow IAT Std,0.008161593443787824
Idle Max,0.007987575498640338
Idle Mean,0.007855075900209493
Fwd IAT Max,0.007553946946508567
Fwd IAT Min,0.006189131297322439
Idle Min,0.004946479210325624
Packet Length Std,0.004294077677270474
Bwd IAT Mean,0.003755426051736289
Fwd Packet Length Min,0.00324865319404529
CWE Flag Count,0.0024960864512414056
Packet Length Max,0.002109617427827814
Idle Std,0.00208620591443327
Packet Length Mean,0.00205066063846442
Bwd IAT Min,0.0019270495047956921
Bwd Packet Length Mean,0.001834964146093883
Fwd Packet Length Mean,0.0017664562607094178
Avg Fwd Segment Size,0.0016313558975499817
Avg Packet Size,0.0016214883514894935
Fwd Packets/s,0.0014252669050563898
Active Std,0.001394822198047034
Protocol,0.0013201301296689295
Subflow Bwd Packets,0.0012878018555230958
Fwd Packet Length Std,0.0012578255683386608
Bwd IAT Std,0.001250767706837159
Total Backward Packets,0.001242470709533301
Active Max,0.0010888826883116937
Flow IAT Min,0.001087696511695686
Subflow Fwd Packets,0.0010735698004268074
Bwd Packets/s,0.001061993936493529
Active Min,0.001056817650430889
Total Fwd Packets,0.0010410346175382672
Active Mean,0.0010309035197212785
Flow IAT Mean,0.001012561395697934
Avg Bwd Segment Size,0.001010609894072545
Fwd IAT Std,0.0010055617346978775
Bwd Packet Length Std,0.0010014116934851849
Bwd Packet Length Max,0.0009811519168409417
Subflow Bwd Bytes,0.0009743089037955998
Fwd Header Length,0.0009712323199147251
Flow Packets/s,0.0009685154336309677
Fwd Packet Length Max,0.0009681580821111335
Subflow Fwd Bytes,0.0009641257511274295
Fwd Packets Length Total,0.0009640116840929508
Fwd IAT Mean,0.0009356798476010882
Flow Bytes/s,0.0009342403183530198
Bwd Packets Length Total,0.0009225771870700139
Down/Up Ratio,0.0009189977775468436
Packet Length Variance,0.0009139287349594281
Packet Length Min,0.0009130925369826326
Bwd Header Length,0.0008901133904274435
Bwd Packet Length Min,0.0008786019276397735
Fwd Act Data Packets,0.0008761600487130304
Fwd Seg Size Min,0.0008546827086309986
Fwd URG Flags,0.0008244732560961397
Bwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
