feature,avg_abs_weight
SYN Flag Count,0.10718434832143217
URG Flag Count,0.07778421401589283
Fwd PSH Flags,0.07615950282340558
FIN Flag Count,0.05486566902698315
PSH Flag Count,0.03087286771511217
RST Flag Count,0.030790739250219364
ECE Flag Count,0.025238457778192412
Init Fwd Win Bytes,0.02400539076151465
Idle Max,0.02159124875938667
ACK Flag Count,0.01991625576046126
Idle Min,0.015379116402703417
Idle Mean,0.015130627297553096
Packet Length Std,0.014778884123319251
Bwd IAT Max,0.014098349237320002
Flow Duration,0.012899078189389679
Bwd IAT Total,0.01171985582546785
Bwd Packet Length Mean,0.01102784577662508
Init Bwd Win Bytes,0.008631651580137607
Bwd Packet Length Std,0.006508302872591688
Fwd IAT Max,0.006441260824584587
Flow IAT Max,0.00621563121383669
Flow IAT Std,0.005773671602084135
Packet Length Max,0.005672017548637322
Packet Length Mean,0.00481245105973412
Avg Packet Size,0.004805050826818717
Fwd IAT Total,0.004473929596418391
Fwd IAT Min,0.004357105639990855
Idle Std,0.003961504794671451
Avg Bwd Segment Size,0.003468779426644684
Fwd Packet Length Min,0.003374125024352358
Down/Up Ratio,0.00273873676697581
Bwd IAT Std,0.0025338386001480862
Avg Fwd Segment Size,0.001996333008669249
Active Std,0.0019700645583602752
CWE Flag Count,0.0019283439714615563
Bwd IAT Mean,0.0019225269769051014
Fwd Packet Length Mean,0.0017258929805967125
Packet Length Variance,0.0016652977322318793
Protocol,0.0016537909296927653
Total Backward Packets,0.001637273711454886
Subflow Bwd Packets,0.0015924501841681807
Fwd IAT Std,0.001576368751226565
Flow IAT Min,0.0015277165728241145
Fwd Packets/s,0.001516420320627879
Fwd Packet Length Std,0.001501847292604766
Bwd IAT Min,0.0014969477432961915
Subflow Fwd Packets,0.0014964221552704804
Fwd Header Length,0.001468432916535488
Subflow Bwd Bytes,0.0014091741886830694
Subflow Fwd Bytes,0.0013818418812736252
Bwd Packet Length Max,0.001375798219615621
Flow Packets/s,0.0013579807253355795
Total Fwd Packets,0.001349583636733548
Bwd Header Length,0.0013384455690314352
Active Max,0.0013375851406267636
Bwd Packets/s,0.0013264937178769519
Flow IAT Mean,0.0013259741702329026
Active Mean,0.001319447527440776
Fwd Packets Length Total,0.0012999756523314947
Bwd Packets Length Total,0.0012999298142713236
Fwd IAT Mean,0.0012883280509938823
Fwd Packet Length Max,0.0012825598038383452
Active Min,0.0012720256670446062
Flow Bytes/s,0.001246217128243821
Fwd Act Data Packets,0.0011645379072588277
Packet Length Min,0.001117800155120436
Bwd Packet Length Min,0.001117095137517373
Fwd Seg Size Min,0.0010990319366365221
Fwd URG Flags,0.0010334688207204908
Fwd Avg Bulk Rate,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd URG Flags,0.0
Fwd Avg Packets/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
