feature,avg_abs_weight
SYN Flag Count,0.1110864557058426
URG Flag Count,0.08290789801136166
Fwd PSH Flags,0.08017228437471301
FIN Flag Count,0.05832205655060868
RST Flag Count,0.03448936411259898
PSH Flag Count,0.03092798423424433
Flow Duration,0.029453688648235134
Init Fwd Win Bytes,0.027992854574393534
ECE Flag Count,0.027214451105514202
Bwd IAT Total,0.0239544366040797
ACK Flag Count,0.022972159578554592
Init Bwd Win Bytes,0.013305008788241184
Fwd IAT Total,0.011785251706931555
Flow IAT Max,0.011353680490143332
Bwd IAT Max,0.008899150422242484
Flow IAT Std,0.008496018864111611
Idle Mean,0.008441352750706918
Idle Max,0.008401040014006024
Fwd IAT Min,0.008073184708357136
Fwd IAT Max,0.007900416708501657
Idle Min,0.005104508559931958
Fwd Packet Length Min,0.0031994438308425546
Bwd IAT Mean,0.0028946331256855433
Packet Length Std,0.0025731527190994176
Idle Std,0.002055152275287877
CWE Flag Count,0.001954024430696489
Fwd Seg Size Min,0.0019127109447063745
Avg Fwd Segment Size,0.001631430744582559
Fwd Packet Length Mean,0.0016171742164424675
Packet Length Max,0.001566483870224976
Subflow Bwd Packets,0.0014840169482264194
Total Backward Packets,0.0014830677706751938
Fwd Packets/s,0.0014681414899137127
Fwd URG Flags,0.0014459291045101279
Bwd IAT Std,0.0014451500914680717
Active Std,0.0014385834695346538
Fwd Packet Length Std,0.001343817106371696
Protocol,0.0012955098317029242
Bwd IAT Min,0.0012192966526429739
Packet Length Mean,0.0011924731963927784
Subflow Fwd Packets,0.0011624143162090113
Active Mean,0.001156748187727701
Active Min,0.001127853836518865
Active Max,0.0011202740087087565
Fwd Act Data Packets,0.0011104975222211116
Bwd Packet Length Std,0.0011090627895105208
Total Fwd Packets,0.0010804793301538679
Avg Packet Size,0.0010777527721957884
Flow IAT Min,0.0010484842690873706
Fwd Packet Length Max,0.0010414982909466922
Bwd Packet Length Mean,0.0010375431901000721
Flow IAT Mean,0.0010280510869298308
Avg Bwd Segment Size,0.00102004051818282
Fwd Header Length,0.001017117036713984
Fwd IAT Mean,0.0010106499158251032
Fwd IAT Std,0.0010098778338997246
Subflow Bwd Bytes,0.0010063783560963857
Bwd Packets Length Total,0.0010061681129192046
Fwd Packets Length Total,0.0010043190692774874
Bwd Packets/s,0.0009930443807125004
Bwd Header Length,0.000992807446385841
Flow Packets/s,0.0009918752391749218
Bwd Packet Length Max,0.0009880408996086362
Packet Length Variance,0.0009824468708637254
Subflow Fwd Bytes,0.0009677188884029287
Down/Up Ratio,0.0009412267256153046
Flow Bytes/s,0.0009160806589642494
Bwd Packet Length Min,0.0008933136229404947
Packet Length Min,0.0008812703962029203
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd PSH Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
