feature,avg_abs_weight
SYN Flag Count,0.11100254653771455
URG Flag Count,0.08291065365395983
Fwd PSH Flags,0.08035306813586728
FIN Flag Count,0.05770983560476394
RST Flag Count,0.03333952062572016
PSH Flag Count,0.031002117545872322
ECE Flag Count,0.02771221392284613
Init Fwd Win Bytes,0.02750195032860806
Bwd IAT Total,0.026155312097264443
Flow Duration,0.02321438173258033
ACK Flag Count,0.022976642605517617
Init Bwd Win Bytes,0.009867711747150076
Bwd IAT Max,0.009749116194670948
Fwd IAT Total,0.009381312500813333
Idle Max,0.008399309408676493
Idle Mean,0.008374206059989514
Flow IAT Max,0.008295009802875408
Fwd IAT Max,0.007666926865039653
Fwd IAT Min,0.007279215278887106
Flow IAT Std,0.006914089864392615
Idle Min,0.005295836946798438
Bwd IAT Mean,0.003276345231420932
Fwd Packet Length Min,0.003227681185100561
CWE Flag Count,0.0027617373755037334
Bwd IAT Min,0.0025423025884340473
Idle Std,0.002243271686884894
Fwd Packet Length Mean,0.0017020184202880186
Total Backward Packets,0.0016699940884480193
Avg Fwd Segment Size,0.0015724865669720868
Subflow Bwd Packets,0.0015712979720594316
Packet Length Std,0.0014931719593958275
Subflow Fwd Packets,0.0014131002580972372
Active Std,0.0014027966220497119
Fwd Packets/s,0.0013925782009899565
Fwd Packet Length Std,0.0013682599778000282
Bwd IAT Std,0.0013485686276670788
Protocol,0.001277291770615075
Total Fwd Packets,0.00125334531047169
Packet Length Mean,0.0012235435618094671
Fwd Act Data Packets,0.001202999749019948
Active Mean,0.0012025057335115386
Packet Length Max,0.0011790601332270722
Active Min,0.0011559817205566063
Fwd Seg Size Min,0.0011269142393755007
Active Max,0.0011252446602240142
Avg Packet Size,0.0011203331880010991
Fwd Packets Length Total,0.0011136574583551662
Flow IAT Min,0.0011006932225462824
Bwd Packet Length Std,0.0010991039230726402
Bwd Header Length,0.001081612345857272
Bwd Packet Length Mean,0.001072787112144841
Flow IAT Mean,0.0010726428032371285
Fwd IAT Mean,0.0010720599140519832
Bwd Packets Length Total,0.0010703959772792935
Fwd Header Length,0.001066315532967292
Avg Bwd Segment Size,0.0010630817747110204
Fwd Packet Length Max,0.0010581288930489564
Flow Packets/s,0.001058043985229022
Subflow Bwd Bytes,0.0010467294655892184
Packet Length Variance,0.0010418762949956164
Fwd IAT Std,0.001036914898685768
Flow Bytes/s,0.0010202802948845852
Subflow Fwd Bytes,0.000993958161464052
Bwd Packets/s,0.0009835472184119873
Bwd Packet Length Max,0.0009564344073666557
Down/Up Ratio,0.0009290252343560747
Fwd URG Flags,0.0009008746547395707
Packet Length Min,0.000892703030763056
Bwd Packet Length Min,0.0008910224523284387
Bwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
