feature,avg_abs_weight
SYN Flag Count,0.11108372546472564
URG Flag Count,0.08300730608462806
Fwd PSH Flags,0.08037404650093988
FIN Flag Count,0.05800284256791748
RST Flag Count,0.03422837193471013
PSH Flag Count,0.03080038463975468
ECE Flag Count,0.02766633323345131
Bwd IAT Total,0.026862813526308295
ACK Flag Count,0.02312395852193904
Flow Duration,0.0206909354862352
Init Fwd Win Bytes,0.0186375349512101
Bwd IAT Max,0.009370292896471566
Init Bwd Win Bytes,0.009018556233078547
Fwd IAT Total,0.008262017631656859
Idle Mean,0.00819208273367145
Idle Max,0.008029889227527749
Flow IAT Max,0.007900087257778599
Fwd IAT Min,0.005762461110986456
Flow IAT Std,0.005470058316653416
Fwd IAT Max,0.005386536572034894
Idle Min,0.0051012247734566005
Fwd Packet Length Min,0.003164039244449948
Bwd IAT Mean,0.002811904541994468
Bwd Packet Length Std,0.0022769746262251735
Idle Std,0.002168841502178286
CWE Flag Count,0.0021550192365366472
Fwd Packets/s,0.002042501171330867
Fwd Packet Length Std,0.001734513235749509
Packet Length Std,0.0015404811261099207
Active Std,0.0014797194785733804
Protocol,0.001337632731205512
Packet Length Mean,0.001236252737247007
Fwd Packet Length Mean,0.0012152674292498936
Avg Fwd Segment Size,0.0011911519635387897
Bwd IAT Std,0.0011879388449084452
Active Max,0.0011808063346993474
Fwd URG Flags,0.0011691767172786413
Avg Packet Size,0.0011510676739511963
Packet Length Max,0.001138101366215289
Active Mean,0.0011207162891624632
Active Min,0.0011175917328584513
Bwd IAT Min,0.0011000967282974762
Bwd Packet Length Mean,0.0011000304517181374
Subflow Fwd Bytes,0.0010844054125044554
Bwd Packets/s,0.0010813027186867726
Fwd Packet Length Max,0.0010793096077328882
Flow IAT Mean,0.0010784232916448042
Bwd Packet Length Max,0.001068143795872751
Subflow Bwd Bytes,0.0010676870626248939
Fwd Header Length,0.0010546268957797988
Bwd Header Length,0.0010496857367521353
Packet Length Variance,0.001048618938274026
Flow Bytes/s,0.001041109119086215
Subflow Fwd Packets,0.0010343415436941472
Fwd Packets Length Total,0.001029064582821495
Fwd IAT Mean,0.0010254692814643416
Flow IAT Min,0.0010240171583399856
Total Backward Packets,0.0010198277493518977
Bwd Packets Length Total,0.0010157824595598726
Avg Bwd Segment Size,0.0010132227614535738
Fwd Act Data Packets,0.0010102062530291563
Total Fwd Packets,0.0010093306777895178
Subflow Bwd Packets,0.000998688751327223
Down/Up Ratio,0.000994323738656699
Fwd IAT Std,0.0009906929582637277
Flow Packets/s,0.0009733185258395697
Packet Length Min,0.0009336064369720909
Bwd Packet Length Min,0.0009120900031785853
Fwd Seg Size Min,0.00090824030613021
Fwd Avg Bulk Rate,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Bytes/Bulk,0.0
