feature,avg_abs_weight
SYN Flag Count,0.1104430339669879
URG Flag Count,0.08263669730650507
Fwd PSH Flags,0.08065575795683155
FIN Flag Count,0.057749801441177855
Bwd IAT Total,0.03719196467258506
PSH Flag Count,0.03171672977057276
Flow Duration,0.029478214346784822
RST Flag Count,0.029002188439277432
ACK Flag Count,0.022620129317914062
ECE Flag Count,0.020323300951783082
Init Bwd Win Bytes,0.015236183008064806
Bwd IAT Max,0.01294452061654886
Fwd IAT Total,0.011327426374115008
Idle Max,0.007991447899589
Init Fwd Win Bytes,0.00792327920349586
Idle Mean,0.007636547588262716
Fwd IAT Max,0.007336400636987908
Flow IAT Max,0.004643137828528572
Bwd IAT Mean,0.004545124140341744
Idle Min,0.004221154453944017
Packet Length Std,0.003837429315643999
Fwd URG Flags,0.003215379565591746
Fwd Packet Length Min,0.003138429077541374
Flow IAT Std,0.0024699696939120028
Packet Length Mean,0.002367231854045396
Fwd IAT Min,0.0023572363683164715
Idle Std,0.0022591257350891795
Packet Length Max,0.002079123757495198
Bwd IAT Std,0.001850845239518859
Fwd Packet Length Std,0.0014611073712884337
Avg Packet Size,0.001449193935257172
Bwd Packet Length Mean,0.0014110875521620892
Flow IAT Mean,0.0013595633997106242
Flow Packets/s,0.0013580206126578723
Fwd IAT Mean,0.0013228718735185932
Avg Fwd Segment Size,0.0012458439622431482
Active Std,0.0012446338696967352
Bwd Packets/s,0.001184171939014476
Subflow Bwd Packets,0.0011820531637537837
Packet Length Min,0.0011687087090785499
Fwd Act Data Packets,0.0011519785758804608
Packet Length Variance,0.001144011177691821
Fwd Packets Length Total,0.0011305102153051385
Fwd Packet Length Mean,0.001119363080928479
Subflow Fwd Packets,0.001116594181758244
Flow Bytes/s,0.001056318463548305
Bwd Packet Length Max,0.0010553658105006108
Bwd Packet Length Min,0.0010549879391325604
Total Backward Packets,0.0010522614769916565
Down/Up Ratio,0.0010339240740586512
Fwd Seg Size Min,0.0010072008742805416
Bwd Packets Length Total,0.001001891226025899
Fwd Header Length,0.0009998194996972678
Bwd IAT Min,0.0009709754591503964
Avg Bwd Segment Size,0.0009679400669540202
Flow IAT Min,0.0009673658910288263
Active Min,0.0009549556167257586
Subflow Fwd Bytes,0.0009384053045892345
Fwd Packet Length Max,0.0009218069369446441
Subflow Bwd Bytes,0.0008780219608090237
Fwd Packets/s,0.0008757659505831675
Fwd IAT Std,0.0008673787581289344
Bwd Header Length,0.0008271064723394998
Protocol,0.000781024268635946
Total Fwd Packets,0.0007557010303603437
Active Mean,0.0007099928424788324
Bwd Packet Length Std,0.0006646448738566763
Active Max,0.0005499177753660053
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
