feature,avg_abs_weight
SYN Flag Count,0.11092607008310919
URG Flag Count,0.08325895489333038
Fwd PSH Flags,0.08041052241325812
FIN Flag Count,0.05835826523405932
Bwd IAT Total,0.03318230847961412
RST Flag Count,0.032915011570043035
PSH Flag Count,0.03125832419637363
ECE Flag Count,0.028407354851249407
Flow Duration,0.028342561248273914
Init Bwd Win Bytes,0.0247139971337813
ACK Flag Count,0.022905863769530486
Bwd IAT Max,0.012048640751665333
Fwd IAT Total,0.011244529562813403
Flow IAT Max,0.009608838784561577
Idle Max,0.008042859302006681
Idle Mean,0.00799162171033898
Init Fwd Win Bytes,0.006817699902865403
Fwd IAT Min,0.0065621845367604854
Fwd IAT Max,0.006560969288458802
Flow IAT Std,0.006247840916313481
Idle Min,0.005171667399923809
Bwd IAT Mean,0.003658836188729971
Packet Length Std,0.003361409803353674
Fwd Packet Length Min,0.0025996304711633647
Idle Std,0.002303809923501333
Fwd Packet Length Mean,0.002013994922472772
Packet Length Mean,0.0019090454282417947
Fwd URG Flags,0.0016470511573290106
Avg Fwd Segment Size,0.0016345893634277476
Fwd Packets/s,0.00160221083750442
Packet Length Max,0.0015300696257506006
Fwd Packet Length Std,0.0014834681938399302
Bwd Packet Length Min,0.0014714790362198643
Bwd IAT Std,0.0014691725856163364
Avg Packet Size,0.0014481827100514219
Packet Length Min,0.0013769241185264602
Bwd IAT Min,0.0013118286122212259
Active Std,0.0012736394875769354
Subflow Fwd Packets,0.0011884705991203931
Bwd Packet Length Std,0.0011829697311414808
Flow IAT Mean,0.001179577825471836
Protocol,0.001179256224343355
Total Backward Packets,0.0011494880959465152
Active Mean,0.0011211685961527744
Bwd Packets Length Total,0.001103598639494652
Subflow Fwd Bytes,0.0010751429492049294
Active Min,0.0010735886526469763
Packet Length Variance,0.0010673390133829146
Fwd IAT Mean,0.0010048821402397967
Subflow Bwd Bytes,0.0009937180127256539
Fwd Header Length,0.0009889618265187293
Flow Packets/s,0.00098809656739663
Fwd Seg Size Min,0.0009877979068836468
Bwd Packet Length Mean,0.0009543040928496559
Total Fwd Packets,0.0009476249759939078
Fwd IAT Std,0.0009385391742734123
Fwd Packet Length Max,0.000938354886029629
Active Max,0.0009264358156842265
Subflow Bwd Packets,0.0009255424871003107
Fwd Packets Length Total,0.0009157251823160218
Bwd Packets/s,0.0008895388799590253
Avg Bwd Segment Size,0.0008870701829759912
Bwd Packet Length Max,0.0008823412933977282
Flow IAT Min,0.0008600006015887182
Bwd Header Length,0.0008245022623332935
Fwd Act Data Packets,0.0008195011699318635
Flow Bytes/s,0.0007706237505210952
Down/Up Ratio,0.0007305681066521688
Fwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
CWE Flag Count,0.0
Bwd Avg Bytes/Bulk,0.0
