feature,avg_abs_weight
SYN Flag Count,0.11126095856541884
URG Flag Count,0.08311801322503096
Fwd PSH Flags,0.08041947750346212
FIN Flag Count,0.058018717236431316
RST Flag Count,0.03499281830069964
PSH Flag Count,0.03101671220912726
ECE Flag Count,0.028899245406334248
ACK Flag Count,0.023187962148944447
Init Bwd Win Bytes,0.017991879916813915
Bwd IAT Total,0.01515073130418852
Init Fwd Win Bytes,0.013821396410997774
Flow Duration,0.010366375380205288
Idle Mean,0.00819504826409925
Idle Max,0.007992170337890677
Bwd IAT Max,0.005459112200333009
Fwd IAT Min,0.005112212169743523
Idle Min,0.005025607470349787
Fwd IAT Total,0.004256218122474053
Flow IAT Max,0.004051317403463698
CWE Flag Count,0.003220420597881037
Flow IAT Std,0.0029340082446123886
Fwd Packet Length Min,0.002775866432876749
Fwd IAT Max,0.002773564679222767
Idle Std,0.0023092378153115488
Fwd Packets/s,0.0021403688862972935
Bwd IAT Mean,0.0018023447389187968
Packet Length Std,0.0016730780406617042
Active Std,0.001523316054281347
Fwd Packet Length Std,0.0014531977688000094
Bwd Packet Length Min,0.0014009773551279393
Bwd IAT Std,0.0013525016787740301
Packet Length Mean,0.0013451528711382794
Protocol,0.0013358092859709703
Active Max,0.0013335049871954288
Packet Length Min,0.0013235144078982796
Avg Fwd Segment Size,0.0012838667094337668
Fwd URG Flags,0.001260268308391999
Active Min,0.0012541785594413844
Avg Packet Size,0.0012526059238713917
Bwd Packet Length Mean,0.0011893674947499062
Packet Length Max,0.0011848168504097157
Total Fwd Packets,0.0011549264194955365
Fwd Packet Length Mean,0.0011548971381624368
Active Mean,0.0011547211982343717
Flow IAT Mean,0.0011543466904956232
Subflow Fwd Bytes,0.0011370234124345217
Flow Bytes/s,0.0011320075165631308
Flow IAT Min,0.001131062491237028
Bwd Packets Length Total,0.0011219954977921911
Down/Up Ratio,0.0011199464685683663
Bwd Packets/s,0.0011183022551248321
Fwd Seg Size Min,0.0011173894113051177
Fwd IAT Std,0.0011094621774066222
Packet Length Variance,0.0011088894843871199
Fwd Packets Length Total,0.0011068557004344718
Avg Bwd Segment Size,0.0011058153169671513
Fwd Header Length,0.0011000937788068848
Bwd Packet Length Std,0.0010909521737636455
Fwd Packet Length Max,0.0010833653856072499
Subflow Fwd Packets,0.0010828248549422633
Subflow Bwd Bytes,0.0010775110911699624
Bwd Header Length,0.001068056464705613
Bwd IAT Min,0.001067051047769623
Fwd Act Data Packets,0.0010567013414573944
Flow Packets/s,0.001052547925873162
Bwd Packet Length Max,0.0010448034876325031
Fwd IAT Mean,0.0010099452686385363
Subflow Bwd Packets,0.0009955525454275564
Total Backward Packets,0.0009880242617693448
Bwd PSH Flags,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
