feature,avg_abs_weight
SYN Flag Count,0.11104859566262269
URG Flag Count,0.08298912496343451
Fwd PSH Flags,0.08048100765280365
FIN Flag Count,0.05817064826740341
RST Flag Count,0.03544662884346021
PSH Flag Count,0.030766597071761388
Bwd IAT Total,0.030007538402388137
ECE Flag Count,0.027083828848855438
Init Bwd Win Bytes,0.026609447641450477
Flow Duration,0.023271447909399078
ACK Flag Count,0.023127336301140545
Init Fwd Win Bytes,0.0224209110967911
Bwd IAT Max,0.010417383941505237
Fwd IAT Total,0.009432533480114233
Flow IAT Max,0.008599570163541199
Idle Mean,0.008278943916696419
Idle Max,0.008064147420277572
Fwd IAT Min,0.00653206284403932
Flow IAT Std,0.0061416975561017825
Fwd IAT Max,0.006015209779768231
Idle Min,0.00495739565876711
Fwd Packet Length Min,0.0032247147969963405
Bwd IAT Mean,0.003202143601943595
Packet Length Std,0.002855495417699236
Idle Std,0.002154691729197728
Fwd Packets/s,0.0019833746355025295
CWE Flag Count,0.001959540851614701
Fwd Packet Length Mean,0.001720835448863051
Avg Fwd Segment Size,0.0016862439655083257
Packet Length Max,0.0014203919504298787
Active Std,0.001362569762322318
Protocol,0.0013350988275366582
Packet Length Mean,0.0012809016448743094
Fwd URG Flags,0.001255962013107789
Fwd Packet Length Std,0.0012030121146503012
Bwd IAT Std,0.0011616636477008902
Bwd IAT Min,0.0011367110406219061
Avg Packet Size,0.0011324960332211908
Active Max,0.0011286575669201388
Active Mean,0.0011112822240022407
Active Min,0.0011084379879595025
Bwd Packet Length Mean,0.0010793009272201954
Fwd Act Data Packets,0.0010495258850299165
Flow IAT Min,0.0010351949086934715
Packet Length Variance,0.001011426330017276
Bwd Packets Length Total,0.0010105033674001605
Flow IAT Mean,0.0010069017283709947
Flow Bytes/s,0.001004553310707131
Subflow Fwd Packets,0.00099951976102262
Subflow Bwd Packets,0.0009933964176635861
Bwd Packets/s,0.0009870293870983533
Fwd Packets Length Total,0.0009623161257694306
Subflow Fwd Bytes,0.0009618614367773698
Total Backward Packets,0.0009617101685699685
Bwd Packet Length Max,0.0009616490571021342
Fwd IAT Mean,0.000959704363705992
Fwd Packet Length Max,0.0009578546784044491
Fwd Header Length,0.0009578072641889815
Subflow Bwd Bytes,0.0009577759884848317
Bwd Packet Length Std,0.000956058488849881
Flow Packets/s,0.0009542873044138934
Bwd Header Length,0.0009420685467305314
Avg Bwd Segment Size,0.00092985262882422
Total Fwd Packets,0.0009257895438502767
Fwd IAT Std,0.0009214417886704659
Down/Up Ratio,0.0009153582357187438
Fwd Seg Size Min,0.0008710092581181194
Packet Length Min,0.0008462001359453575
Bwd Packet Length Min,0.0008421283531811557
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
