feature,avg_abs_weight
SYN Flag Count,0.11107458514495135
URG Flag Count,0.08323162135813603
Fwd PSH Flags,0.08058346137212573
FIN Flag Count,0.057907030335976745
RST Flag Count,0.034815264563503784
PSH Flag Count,0.0309021462261974
ECE Flag Count,0.027345919208612943
Flow Duration,0.0272794805484258
Init Bwd Win Bytes,0.026408547392402382
Init Fwd Win Bytes,0.026031041894983755
ACK Flag Count,0.023152492311689716
Bwd IAT Total,0.016829653883978397
Fwd IAT Total,0.010992658382548431
Flow IAT Max,0.010309096490537703
Idle Mean,0.00810062095295635
Idle Max,0.008007604463722917
Fwd IAT Min,0.007386606581196698
Flow IAT Std,0.00719185135582501
Fwd IAT Max,0.007090888513173151
Bwd IAT Max,0.005943266912998305
Idle Min,0.004988974652559088
Fwd Packet Length Min,0.0032823851775989872
CWE Flag Count,0.002711329988397436
Idle Std,0.002177369761198654
Bwd IAT Mean,0.001896326200194965
Packet Length Std,0.0017751015219620294
Fwd Packets/s,0.0016850637882844426
Fwd URG Flags,0.0016387284117923059
Active Std,0.0014062957047185885
Protocol,0.0013354257416628584
Fwd Header Length,0.0012959194115781858
Subflow Fwd Packets,0.001289852195033898
Bwd IAT Std,0.001264988533365798
Fwd Packet Length Mean,0.0012612274611099674
Avg Fwd Segment Size,0.0012358544920488535
Total Fwd Packets,0.0012181568971843324
Packet Length Mean,0.0012175781120785415
Packet Length Max,0.0011861105608207876
Fwd Packet Length Std,0.0011133208808788307
Active Mean,0.0010937172398560074
Bwd Packet Length Mean,0.001079774932503204
Active Min,0.0010761200584120552
Bwd Header Length,0.0010756854440722424
Avg Packet Size,0.0010727080114352617
Active Max,0.0010724688320997604
Bwd Packet Length Max,0.0010622326142795332
Flow Bytes/s,0.00103936964249237
Flow IAT Mean,0.0010349826066639511
Packet Length Variance,0.0010277866948447182
Bwd IAT Min,0.0010231327105627804
Flow IAT Min,0.0010012273870961268
Fwd Packets Length Total,0.0009988933459718304
Avg Bwd Segment Size,0.000996465213537455
Total Backward Packets,0.0009942032610140677
Fwd IAT Mean,0.000990521633473754
Bwd Packets/s,0.0009834278349335744
Subflow Fwd Bytes,0.0009796575948335144
Bwd Packets Length Total,0.0009747829906665925
Fwd Packet Length Max,0.0009746952296058937
Fwd IAT Std,0.0009742930014945016
Bwd Packet Length Std,0.0009684235035174994
Flow Packets/s,0.0009666807346517064
Subflow Bwd Bytes,0.0009648379338294696
Down/Up Ratio,0.000964745120776769
Subflow Bwd Packets,0.0009636223707840332
Fwd Act Data Packets,0.0009455275182567651
Fwd Seg Size Min,0.0009047805452320715
Packet Length Min,0.0008997019657130831
Bwd Packet Length Min,0.0008486789989404946
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
