feature,avg_abs_weight
SYN Flag Count,0.11101129665024967
URG Flag Count,0.08294300048604702
Fwd PSH Flags,0.0802916394154904
FIN Flag Count,0.05717249482891283
RST Flag Count,0.03439934854296504
PSH Flag Count,0.031212959914910205
Bwd IAT Total,0.023672794677174945
ECE Flag Count,0.02330517763967031
ACK Flag Count,0.02301472785886117
Flow Duration,0.020880891893631157
Init Fwd Win Bytes,0.01849114939391358
Init Bwd Win Bytes,0.008611185057180249
Bwd IAT Max,0.008493908276225995
Idle Max,0.008372924377037842
Flow IAT Max,0.008115800056663597
Idle Mean,0.007977370354225981
Fwd IAT Total,0.005418068892955731
Flow IAT Std,0.005342966130616522
Idle Min,0.0050395268477072
Fwd IAT Min,0.0032483524043007443
Fwd Packet Length Min,0.0030903589183417612
Fwd IAT Max,0.002916522437047136
Bwd IAT Mean,0.0026380715809760486
Fwd Packets/s,0.002251517290597415
Packet Length Std,0.0020553833384804225
Idle Std,0.0020272553177631755
Packet Length Mean,0.0018586803597237748
Active Std,0.0017981957682470442
Fwd Packet Length Mean,0.0016637522488750524
Total Backward Packets,0.0015549270884170005
Flow Bytes/s,0.0015461503629031555
Bwd IAT Min,0.001527679428202872
Protocol,0.0014829207942958565
Subflow Bwd Packets,0.0014542224418026893
Bwd IAT Std,0.0014490487412015245
Avg Packet Size,0.0013637570703302967
Fwd URG Flags,0.0013080512005599013
Bwd Packet Length Mean,0.0013045334421161025
Avg Fwd Segment Size,0.0012928654476251967
Fwd Act Data Packets,0.0012851659664114285
Active Min,0.0012344950948529215
Subflow Fwd Packets,0.0011943251364316123
Total Fwd Packets,0.0011817499634560883
Flow IAT Mean,0.0011578262824850577
Bwd Packet Length Std,0.0011514558873571337
Avg Bwd Segment Size,0.0011227001424006153
Fwd Seg Size Min,0.0011193938084703803
Flow IAT Min,0.0011051034673894716
Fwd Packet Length Std,0.0010822066242110653
Active Max,0.0010785622691503894
Fwd Packets Length Total,0.0010775401989287583
Down/Up Ratio,0.001071508587098404
Packet Length Variance,0.0010539278680786394
Subflow Bwd Bytes,0.0010319378241878234
Packet Length Min,0.0010306013581819092
Bwd Packet Length Min,0.0010198659710302367
Fwd IAT Std,0.0010179062540930327
Active Mean,0.0010053959295607449
Bwd Packets/s,0.0009954694531094039
Bwd Packets Length Total,0.000978890130071016
Fwd IAT Mean,0.000975095550536526
Packet Length Max,0.0009283761247841744
Subflow Fwd Bytes,0.0009023843271767302
Flow Packets/s,0.0008946669539719511
Fwd Packet Length Max,0.00088329998827634
Bwd Packet Length Max,0.000831620324650583
Bwd Header Length,0.0007660409533783527
Fwd Header Length,0.0007276574062931737
Fwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Bwd PSH Flags,0.0
