feature,avg_abs_weight
SYN Flag Count,0.11122655761811583
URG Flag Count,0.08306694598896569
Fwd PSH Flags,0.08040660047646514
FIN Flag Count,0.0579461575367566
RST Flag Count,0.03573982985190367
PSH Flag Count,0.03090273671331834
Flow Duration,0.028424685632112694
Init Bwd Win Bytes,0.027823667000108302
ECE Flag Count,0.027781611610804557
Init Fwd Win Bytes,0.027340021979018844
ACK Flag Count,0.023094795404216394
Bwd IAT Total,0.01516311175108001
Fwd IAT Total,0.0113696030319107
Flow IAT Max,0.010968913637068443
Idle Mean,0.008139855719491518
Idle Max,0.007985956034014767
Fwd IAT Min,0.007725618157685062
Flow IAT Std,0.007717575380105816
Fwd IAT Max,0.007342578179066392
Bwd IAT Max,0.005474633354377331
Idle Min,0.004973019023721946
CWE Flag Count,0.003453939943785772
Fwd Packet Length Min,0.0032337976264869427
Idle Std,0.0022013177074629952
Bwd IAT Mean,0.001696440877230081
Packet Length Std,0.0016081498381925491
Fwd Packets/s,0.0015468193210715938
Fwd Header Length,0.0014650941945071542
Active Std,0.0014167644914770238
Protocol,0.0013170306368262535
Total Fwd Packets,0.0012846447723490772
Subflow Fwd Packets,0.00127483900141819
Packet Length Mean,0.0012410079483230025
Bwd IAT Std,0.0012325586468664106
Fwd URG Flags,0.0012275192086538423
Fwd Packet Length Mean,0.0011811199189073137
Avg Fwd Segment Size,0.0011414465296863674
Active Mean,0.0011389590262072672
Bwd Packet Length Mean,0.0011138972482688898
Packet Length Max,0.0011086316255821528
Active Min,0.0011045783352244662
Active Max,0.0010940394099967579
Fwd Packet Length Std,0.0010876136197243214
Bwd Header Length,0.0010782769383159711
Avg Packet Size,0.0010732935569274702
Subflow Bwd Bytes,0.0010472374509711
Flow Packets/s,0.0010395928654115508
Flow IAT Min,0.0010303786075399292
Flow Bytes/s,0.0010219975801249296
Subflow Fwd Bytes,0.0010184138458632051
Bwd Packets Length Total,0.001011257978564117
Bwd IAT Min,0.0010105459069114254
Fwd Act Data Packets,0.0009904313229792525
Fwd Packet Length Max,0.0009903401544669914
Fwd Packets Length Total,0.0009892213171379329
Flow IAT Mean,0.0009847891624337147
Packet Length Variance,0.0009825855276902385
Avg Bwd Segment Size,0.0009730986798144727
Fwd IAT Mean,0.0009725549095984831
Bwd Packet Length Std,0.000971166578129463
Fwd IAT Std,0.0009677605422672405
Bwd Packets/s,0.0009667058928147667
Down/Up Ratio,0.0009636897875372817
Bwd Packet Length Max,0.0009455261827789222
Total Backward Packets,0.000915678793982395
Subflow Bwd Packets,0.0008856502279846314
Bwd Packet Length Min,0.0008823508687189136
Fwd Seg Size Min,0.0008777387579637326
Packet Length Min,0.0008683838442039435
Bwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
