feature,mean_abs_weight
SYN Flag Count,0.10593426846789514
URG Flag Count,0.07613610673404603
Fwd PSH Flags,0.07471275465831
FIN Flag Count,0.054068240162763966
Flow Duration,0.03689075099633335
Bwd IAT Total,0.030897831893476668
PSH Flag Count,0.03049203499573783
RST Flag Count,0.02765319340261594
ECE Flag Count,0.023108332327527962
Bwd IAT Max,0.022062908082117885
Idle Max,0.02191450316760723
ACK Flag Count,0.01916851781591038
Fwd IAT Max,0.01857587001681903
Flow IAT Max,0.01767577925001712
Init Bwd Win Bytes,0.015971112491880202
Flow IAT Std,0.01580108750328491
Idle Mean,0.014907823334333587
Idle Min,0.014690671169318338
Packet Length Std,0.013901848435804163
Fwd IAT Total,0.01259855769917304
Bwd Packet Length Mean,0.008933756541823852
Bwd Packet Length Std,0.008893383639213515
Init Fwd Win Bytes,0.008629635716110574
Idle Std,0.0076154522628882
Fwd IAT Min,0.005367674863638297
Fwd Packet Length Min,0.0053653899768498015
Avg Packet Size,0.00412750172178676
Packet Length Variance,0.0038890082686167614
Packet Length Max,0.0038404682871455323
Packet Length Mean,0.00376086907507282
Avg Bwd Segment Size,0.0035609442716474583
Bwd IAT Mean,0.003443204794769166
Bwd IAT Std,0.0021784670176206067
CWE Flag Count,0.00205540893115039
Protocol,0.0018724750671933023
Active Std,0.0018656118814134807
Bwd Packet Length Max,0.0016896871579688486
Bwd IAT Min,0.0015799596670634489
Fwd IAT Std,0.0014929360704525234
Avg Fwd Segment Size,0.0014238035797163667
Fwd Packets/s,0.0013576198651370705
Active Max,0.0012730316810328193
Fwd Packet Length Mean,0.0012668793224793707
Flow Packets/s,0.0012606410392200069
Flow IAT Mean,0.0012537577585644331
Active Min,0.0012535805273072487
Fwd IAT Mean,0.0012518494077450833
Fwd Header Length,0.0012477976057486632
Bwd Packets/s,0.00124601956743097
Subflow Bwd Packets,0.0012454204366525409
Total Backward Packets,0.0012433481187771125
Subflow Fwd Bytes,0.0012365314888143593
Packet Length Min,0.0012351178599097675
Subflow Bwd Bytes,0.0012274897446182768
Fwd Packet Length Std,0.0012260395399910364
Fwd Packet Length Max,0.0012249330182129811
Active Mean,0.001223926870619709
Bwd Packets Length Total,0.0012204031273193377
Flow Bytes/s,0.0012174107865614726
Bwd Header Length,0.0012095562525360906
Bwd Packet Length Min,0.0012004793292607766
Fwd Packets Length Total,0.001194887690727437
Fwd Act Data Packets,0.0011929403406769285
Total Fwd Packets,0.0011335680275481401
Flow IAT Min,0.00113057475197275
Subflow Fwd Packets,0.0011295151343948759
Fwd Seg Size Min,0.0011165624209776449
Down/Up Ratio,0.0010563182875994322
Fwd URG Flags,0.0009202770576832369
Bwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
